"run_family","model_run","scale","reward_group","reward_clean","model_config","pretrain_seed","fine_tune_seed","generation_seed","reward_seed","grammaticality_childes_bin","grammaticality_childes_score","grammaticality_gec_score","utterance"
"sent_approval.1e+06.2.1024","sent_approval.1e+06.2.1024.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","1024","1","1024",0,-1,1,"is my favorite picture right?"
"sent_approval.1e+06.2.1024","sent_approval.1e+06.2.1024.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","1024","1","1024",0,-1,0,"she does that look right there?"
"sent_approval.1e+06.2.1024","sent_approval.1e+06.2.1024.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","1024","1","1024",1,1,1,"do you want mommy to put that in your eyes?"
"sent_approval.1e+06.2.1024","sent_approval.1e+06.2.1024.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","1024","1","1024",1,1,0,"you like to sit down?"
"sent_approval.1e+06.2.3","sent_approval.1e+06.2.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",0,-1,1,"what, you read."
"sent_approval.1e+06.2.3","sent_approval.1e+06.2.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",0,-1,0,"did you tell me if you tell me if your ear okay."
"sent_approval.1e+06.2.3","sent_approval.1e+06.2.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",1,1,0,"and then then then you can take them out and you can use it."
"sent_approval.1e+06.2.3","sent_approval.1e+06.2.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",1,1,1,"okay, you can give it to them."
"sent_approval.1e+06.2.999","sent_approval.1e+06.2.999.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",0,-1,0,"you need to do it, like this?"
"sent_approval.1e+06.2.999","sent_approval.1e+06.2.999.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",0,-1,1,"maybe we will do that right?"
"sent_approval.1e+06.2.999","sent_approval.1e+06.2.999.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",1,1,1,"and we have to do this inside, okay?"
"sent_approval.1e+06.2.999","sent_approval.1e+06.2.999.1",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",1,1,0,"we will do it?"
"sent_approval.1e+06.3.1024","sent_approval.1e+06.3.1024.0",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","1024","0","1024",0,-1,1,"you want to do you like those okay?"
"sent_approval.1e+06.3.1024","sent_approval.1e+06.3.1024.0",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","1024","0","1024",0,-1,0,"he will just put it there in."
"sent_approval.1e+06.3.1024","sent_approval.1e+06.3.1024.0",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","1024","0","1024",1,1,1,"they are going to put the bottle here okay?"
"sent_approval.1e+06.3.1024","sent_approval.1e+06.3.1024.0",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","1024","0","1024",1,1,1,"you did the egg, okay?"
"sent_approval.1e+06.3.123","sent_approval.1e+06.3.123.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","123","2","123",0,-1,0,"you want to read the one?"
"sent_approval.1e+06.3.123","sent_approval.1e+06.3.123.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","123","2","123",0,-1,0,"you it right?"
"sent_approval.1e+06.3.123","sent_approval.1e+06.3.123.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","123","2","123",1,1,1,"okay, you want to do this?"
"sent_approval.1e+06.3.123","sent_approval.1e+06.3.123.2",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","123","2","123",1,1,0,"you want to read it too?"
"sent_approval.1e+06.3.3","sent_approval.1e+06.3.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","3","1024","3",0,-1,1,"all the words?"
"sent_approval.1e+06.3.3","sent_approval.1e+06.3.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","3","1024","3",0,-1,0,"you can put him then mommy will have to take you to play with mommy."
"sent_approval.1e+06.3.3","sent_approval.1e+06.3.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","3","1024","3",1,1,1,"do you like daddy's microphone?"
"sent_approval.1e+06.3.3","sent_approval.1e+06.3.3.1024",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","3","1024","3",1,1,1,"okay well you have to see it."
"sent_approval.1e+06.3.999","sent_approval.1e+06.3.999.random",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","999","random","999",0,-1,0,"it is right there?"
"sent_approval.1e+06.3.999","sent_approval.1e+06.3.999.random",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","999","random","999",0,-1,1,"hm the letter right?"
"sent_approval.1e+06.3.999","sent_approval.1e+06.3.999.random",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","999","random","999",1,1,0,"we will do that okay?"
"sent_approval.1e+06.3.999","sent_approval.1e+06.3.999.random",1e+06,"affective_feedback","sent_approval","1e6_entropy_001_lm_loss_001_target_6","3","999","random","999",1,1,1,"right, you want the red ones?"
"sent_supportiveness.1e+06.1.1024","sent_supportiveness.1e+06.1.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",0,-1,0,"what is this say?"
"sent_supportiveness.1e+06.1.1024","sent_supportiveness.1e+06.1.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",0,-1,0,"do it have on a side?"
"sent_supportiveness.1e+06.1.1024","sent_supportiveness.1e+06.1.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",1,1,0,"can i move no more too?"
"sent_supportiveness.1e+06.1.1024","sent_supportiveness.1e+06.1.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","1024","2","1024",1,1,1,"thank you very much."
"sent_supportiveness.1e+06.1.3","sent_supportiveness.1e+06.1.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","3","1024","3",0,-1,0,"is a mommy book?"
"sent_supportiveness.1e+06.1.3","sent_supportiveness.1e+06.1.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","3","1024","3",0,-1,1,"a see a picture?"
"sent_supportiveness.1e+06.1.3","sent_supportiveness.1e+06.1.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","3","1024","3",1,1,1,"okay that is great."
"sent_supportiveness.1e+06.1.3","sent_supportiveness.1e+06.1.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","3","1024","3",1,1,1,"that is a good idea!"
"sent_supportiveness.1e+06.1.999","sent_supportiveness.1e+06.1.999.1",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","999","1","999",0,-1,0,"i am having things."
"sent_supportiveness.1e+06.1.999","sent_supportiveness.1e+06.1.999.1",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","999","1","999",0,-1,0,"i don't have two minutes all you don't even lose more."
"sent_supportiveness.1e+06.1.999","sent_supportiveness.1e+06.1.999.1",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","999","1","999",1,1,1,"okay let's see."
"sent_supportiveness.1e+06.1.999","sent_supportiveness.1e+06.1.999.1",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","1","999","1","999",1,1,1,"i don't know if i can find them."
"sent_supportiveness.1e+06.2.1024","sent_supportiveness.1e+06.2.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","1024","2","1024",0,-1,0,"well we have to do."
"sent_supportiveness.1e+06.2.1024","sent_supportiveness.1e+06.2.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","1024","2","1024",0,-1,0,"yeah, those it just not for the the."
"sent_supportiveness.1e+06.2.1024","sent_supportiveness.1e+06.2.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","1024","2","1024",1,1,1,"it is like this."
"sent_supportiveness.1e+06.2.1024","sent_supportiveness.1e+06.2.1024.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","1024","2","1024",1,1,1,"this is to play with the table."
"sent_supportiveness.1e+06.2.3","sent_supportiveness.1e+06.2.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",0,-1,0,"ooh, it is the nice day?"
"sent_supportiveness.1e+06.2.3","sent_supportiveness.1e+06.2.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",0,-1,0,"would to leave your favorite more in the tub."
"sent_supportiveness.1e+06.2.3","sent_supportiveness.1e+06.2.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",1,1,1,"good, good job."
"sent_supportiveness.1e+06.2.3","sent_supportiveness.1e+06.2.3.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","3","1024","3",1,1,1,"he is very good."
"sent_supportiveness.1e+06.2.999","sent_supportiveness.1e+06.2.999.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","999","2","999",0,-1,0,"what is that this?"
"sent_supportiveness.1e+06.2.999","sent_supportiveness.1e+06.2.999.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","999","2","999",0,-1,1,"is in the bowl?"
"sent_supportiveness.1e+06.2.999","sent_supportiveness.1e+06.2.999.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","999","2","999",1,1,1,"yes, it is the light."
"sent_supportiveness.1e+06.2.999","sent_supportiveness.1e+06.2.999.2",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","2","999","2","999",1,1,1,"let's see."
"sent_supportiveness.1e+06.3.1024","sent_supportiveness.1e+06.3.1024.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","1024","42","1024",0,-1,0,"what is this say?"
"sent_supportiveness.1e+06.3.1024","sent_supportiveness.1e+06.3.1024.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","1024","42","1024",0,-1,1,"want to have you two?"
"sent_supportiveness.1e+06.3.1024","sent_supportiveness.1e+06.3.1024.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","1024","42","1024",1,1,1,"what is she doing?"
"sent_supportiveness.1e+06.3.1024","sent_supportiveness.1e+06.3.1024.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","1024","42","1024",1,1,0,"you could be a little bit of hair."
"sent_supportiveness.1e+06.3.123","sent_supportiveness.1e+06.3.123.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","123","1024","123",0,-1,0,"the, you have to open the door the door."
"sent_supportiveness.1e+06.3.123","sent_supportiveness.1e+06.3.123.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","123","1024","123",0,-1,1,"thank you for mommy."
"sent_supportiveness.1e+06.3.123","sent_supportiveness.1e+06.3.123.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","123","1024","123",1,1,1,"yes, that is right, that is a good one."
"sent_supportiveness.1e+06.3.123","sent_supportiveness.1e+06.3.123.1024",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","123","1024","123",1,1,1,"okay would you like two?"
"sent_supportiveness.1e+06.3.3","sent_supportiveness.1e+06.3.3.3",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","3","3","3",0,-1,1,"the mommy nice thing?"
"sent_supportiveness.1e+06.3.3","sent_supportiveness.1e+06.3.3.3",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","3","3","3",0,-1,1,"that is a nice great nice."
"sent_supportiveness.1e+06.3.3","sent_supportiveness.1e+06.3.3.3",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","3","3","3",1,1,1,"yeah that is great."
"sent_supportiveness.1e+06.3.3","sent_supportiveness.1e+06.3.3.3",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","3","3","3",1,1,1,"very good, right?"
"sent_supportiveness.1e+06.3.999","sent_supportiveness.1e+06.3.999.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","999","42","999",0,-1,0,"we will take a play play doh dough dough dough dough."
"sent_supportiveness.1e+06.3.999","sent_supportiveness.1e+06.3.999.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","999","42","999",0,-1,0,"let me have let you to get down the window."
"sent_supportiveness.1e+06.3.999","sent_supportiveness.1e+06.3.999.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","999","42","999",1,1,1,"can you have two toes?"
"sent_supportiveness.1e+06.3.999","sent_supportiveness.1e+06.3.999.42",1e+06,"affective_feedback","sent_supportiveness","1e6_entropy_001_lm_loss_001_target_6","3","999","42","999",1,1,0,"did you say it called yours?"
"sent_warmth.1e+06.1.1024","sent_warmth.1e+06.1.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","1024","3","1024",0,-1,0,"let's go up up the play ground."
"sent_warmth.1e+06.1.1024","sent_warmth.1e+06.1.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","1024","3","1024",0,-1,0,"where it are all you going to go?"
"sent_warmth.1e+06.1.1024","sent_warmth.1e+06.1.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","1024","3","1024",1,1,0,"she has to go through the front?"
"sent_warmth.1e+06.1.1024","sent_warmth.1e+06.1.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","1024","3","1024",1,1,1,"and he is going to help,."
"sent_warmth.1e+06.1.3","sent_warmth.1e+06.1.3.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","3","1","3",0,-1,1,"i love you said."
"sent_warmth.1e+06.1.3","sent_warmth.1e+06.1.3.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","3","1","3",0,-1,1,"did you love a."
"sent_warmth.1e+06.1.3","sent_warmth.1e+06.1.3.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","3","1","3",1,1,0,"i love you hon."
"sent_warmth.1e+06.1.3","sent_warmth.1e+06.1.3.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","3","1","3",1,1,1,"i love you i love you."
"sent_warmth.1e+06.1.999","sent_warmth.1e+06.1.999.2",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","999","2","999",0,-1,1,"i can't see the."
"sent_warmth.1e+06.1.999","sent_warmth.1e+06.1.999.2",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","999","2","999",0,-1,1,"who is that doing?"
"sent_warmth.1e+06.1.999","sent_warmth.1e+06.1.999.2",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","999","2","999",1,1,0,"and there is there a little."
"sent_warmth.1e+06.1.999","sent_warmth.1e+06.1.999.2",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","1","999","2","999",1,1,1,"there is a book."
"sent_warmth.1e+06.2.1024","sent_warmth.1e+06.2.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","1024","3","1024",0,-1,0,"mommy's coming out by her hat."
"sent_warmth.1e+06.2.1024","sent_warmth.1e+06.2.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","1024","3","1024",0,-1,1,"and, have a."
"sent_warmth.1e+06.2.1024","sent_warmth.1e+06.2.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","1024","3","1024",1,1,1,"oh it is time for bed."
"sent_warmth.1e+06.2.1024","sent_warmth.1e+06.2.1024.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","1024","3","1024",1,1,1,"and i will go get my blocks."
"sent_warmth.1e+06.2.3","sent_warmth.1e+06.2.3.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","3","3","3",0,-1,1,"you love honey you."
"sent_warmth.1e+06.2.3","sent_warmth.1e+06.2.3.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","3","3","3",0,-1,0,"you love you night."
"sent_warmth.1e+06.2.3","sent_warmth.1e+06.2.3.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","3","3","3",1,1,1,"thank you, thank you."
"sent_warmth.1e+06.2.3","sent_warmth.1e+06.2.3.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","3","3","3",1,1,1,"okay, thank you."
"sent_warmth.1e+06.2.999","sent_warmth.1e+06.2.999.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",0,-1,1,"do you remember where they have in the kitchen like this?"
"sent_warmth.1e+06.2.999","sent_warmth.1e+06.2.999.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",0,-1,1,"want to show manuela?"
"sent_warmth.1e+06.2.999","sent_warmth.1e+06.2.999.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",1,1,1,"yeah, they are not all they are right."
"sent_warmth.1e+06.2.999","sent_warmth.1e+06.2.999.1",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","2","999","1","999",1,1,1,"alright that is not a tree."
"sent_warmth.1e+06.3.1024","sent_warmth.1e+06.3.1024.1024",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","1024","1024","1024",0,-1,0,"i hope her's in the sky!"
"sent_warmth.1e+06.3.1024","sent_warmth.1e+06.3.1024.1024",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","1024","1024","1024",0,-1,1,"we will put here right here."
"sent_warmth.1e+06.3.1024","sent_warmth.1e+06.3.1024.1024",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","1024","1024","1024",1,1,1,"the farmer's coming through from here."
"sent_warmth.1e+06.3.1024","sent_warmth.1e+06.3.1024.1024",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","1024","1024","1024",1,1,1,"can you have a brush, for me?"
"sent_warmth.1e+06.3.123","sent_warmth.1e+06.3.123.random",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","123","random","123",0,-1,1,"yes, you like the."
"sent_warmth.1e+06.3.123","sent_warmth.1e+06.3.123.random",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","123","random","123",0,-1,0,"and he just will talk because."
"sent_warmth.1e+06.3.123","sent_warmth.1e+06.3.123.random",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","123","random","123",1,1,0,"you want to show ethan?"
"sent_warmth.1e+06.3.123","sent_warmth.1e+06.3.123.random",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","123","random","123",1,1,1,"what are you doing?"
"sent_warmth.1e+06.3.3","sent_warmth.1e+06.3.3.123",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","3","123","3",0,-1,0,"that is what do you see?"
"sent_warmth.1e+06.3.3","sent_warmth.1e+06.3.3.123",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","3","123","3",0,-1,1,"thank you sweetie pie let you love you."
"sent_warmth.1e+06.3.3","sent_warmth.1e+06.3.3.123",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","3","123","3",1,1,1,"thank you sweetie pie, sweetie thank you."
"sent_warmth.1e+06.3.3","sent_warmth.1e+06.3.3.123",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","3","123","3",1,1,1,"thank you thank you."
"sent_warmth.1e+06.3.999","sent_warmth.1e+06.3.999.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","999","3","999",0,-1,1,"it is going to make me a little bit bit?"
"sent_warmth.1e+06.3.999","sent_warmth.1e+06.3.999.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","999","3","999",0,-1,1,"you the road."
"sent_warmth.1e+06.3.999","sent_warmth.1e+06.3.999.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","999","3","999",1,1,1,"oh boy it is bigger."
"sent_warmth.1e+06.3.999","sent_warmth.1e+06.3.999.3",1e+06,"affective_feedback","sent_warmth","1e6_entropy_001_lm_loss_001_target_6","3","999","3","999",1,1,1,"yeah, and the baby's eating the pictures."
"baseline.1e+06.1.none","baseline.1e+06.1.none.3",1e+06,"baseline","baseline","baseline","1","none","3","none",0,-1,1,"they are all done with these."
"baseline.1e+06.1.none","baseline.1e+06.1.none.3",1e+06,"baseline","baseline","baseline","1","none","3","none",0,-1,1,"yeah what does that see?"
"baseline.1e+06.1.none","baseline.1e+06.1.none.3",1e+06,"baseline","baseline","baseline","1","none","3","none",1,1,1,"oh no, this is not a yeah."
"baseline.1e+06.1.none","baseline.1e+06.1.none.3",1e+06,"baseline","baseline","baseline","1","none","3","none",1,1,1,"yeah i was making a funny big girl, said stella, my sister."
"baseline.1e+06.2.none","baseline.1e+06.2.none.7",1e+06,"baseline","baseline","baseline","2","none","7","none",0,-1,0,"that is where the little tail live."
"baseline.1e+06.2.none","baseline.1e+06.2.none.7",1e+06,"baseline","baseline","baseline","2","none","7","none",0,-1,1,"no, the, okay."
"baseline.1e+06.2.none","baseline.1e+06.2.none.7",1e+06,"baseline","baseline","baseline","2","none","7","none",1,1,0,"i think you were going to make some things that are so much more fun."
"baseline.1e+06.2.none","baseline.1e+06.2.none.7",1e+06,"baseline","baseline","baseline","2","none","7","none",1,1,1,"and a big bird."
"baseline.1e+06.3.none","baseline.1e+06.3.none.999",1e+06,"baseline","baseline","baseline","3","none","999","none",0,-1,0,"it is a lil bit."
"baseline.1e+06.3.none","baseline.1e+06.3.none.999",1e+06,"baseline","baseline","baseline","3","none","999","none",0,-1,1,"a little bit bit."
"baseline.1e+06.3.none","baseline.1e+06.3.none.999",1e+06,"baseline","baseline","baseline","3","none","999","none",1,1,1,"it must be broken."
"baseline.1e+06.3.none","baseline.1e+06.3.none.999",1e+06,"baseline","baseline","baseline","3","none","999","none",1,0,1,"look down."
"is_acknowledgement.1e+06.1.1024","is_acknowledgement.1e+06.1.1024.3",1e+06,"communicative_feedback","is_acknowledgement","1e6_entropy_001_lm_loss_001_target_6","1","1024","3","1024",0,-1,1,"there is the pink face."
"is_acknowledgement.1e+06.1.1024","is_acknowledgement.1e+06.1.1024.3",1e+06,"communicative_feedback","is_acknowledgement","1e6_entropy_001_lm_loss_001_target_6","1","1024","3","1024",0,-1,0,"the is a big yellow hat."
